country_id,country_name,iso3,region,created_at,updated_at
92,Guinea,GIN,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
93,Guinea-Bissau,GNB,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
94,Guyana,GUY,South America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
95,Haiti,HTI,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
96,Holy See,VAT,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
97,Honduras,HND,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
98,Hungary,HUN,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
99,Isle of Man,IMN,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
100,Iceland,ISL,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
101,India,IND,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
102,Indonesia,IDN,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
103,Iran (Islamic Republic of),IRN,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
104,Iraq,IRQ,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
105,Ireland,IRL,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
106,Israel,ISR,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
107,Italy,ITA,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
108,Jamaica,JAM,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
109,Japan,JPN,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
110,Jordan,JOR,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
111,Kazakhstan,KAZ,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
112,Kenya,KEN,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
113,Kiribati,KIR,Oceania,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
114,Kuwait,KWT,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
115,Kyrgyzstan,KGZ,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
116,Lao People's Democratic Republic,LAO,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
117,Latvia,LVA,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
118,Lebanon,LBN,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
119,Lesotho,LSO,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
120,Liberia,LBR,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
121,Libya,LBY,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
122,Liechtenstein,LIE,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
123,Lithuania,LTU,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
124,Luxembourg,LUX,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
125,Madagascar,MDG,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
126,Malawi,MWI,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
127,Malaysia,MYS,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
128,Mayotte,MYT,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
129,Maldives,MDV,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
130,Mali,MLI,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
131,Malta,MLT,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
132,Marshall Islands,MHL,Oceania,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
133,Martinique,MTQ,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
134,Mauritania,MRT,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
135,Mauritius,MUS,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
136,Mexico,MEX,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
