fact_id,country_id,year,rural_population,urban_population,population_male,population_female,created_at,updated_at
60,2,2018,1164388.0,1769975.0,1441209.0,1435804.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
61,2,2019,1139266.0,1799162.0,1438686.0,1435198.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
62,2,2020,1114672.0,1827362.0,1433767.0,1433082.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
63,3,1990,12415865.0,13496502.0,12970400.0,12547674.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
64,3,1991,12514727.0,14039602.0,13282430.0,12851476.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
65,3,1992,12596547.0,14584547.0,13592789.0,13155514.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
66,3,1993,12659779.0,15126480.0,13898591.0,13455737.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
67,3,1994,12700801.0,15661452.0,14191896.0,13745110.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
68,3,1995,12718634.0,16185664.0,14462522.0,14015501.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
69,3,1996,12713484.0,16697931.0,14736488.0,14248146.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
70,3,1997,12688632.0,17198207.0,15025934.0,14450097.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
71,3,1998,12645977.0,17689755.0,15272209.0,14652460.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
72,3,1999,12577656.0,18187957.0,15482799.0,14863283.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
73,3,2000,12498847.0,18684813.0,15698203.0,15076418.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
74,3,2001,12411940.0,19180213.0,15912853.0,15288132.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
75,3,2002,12317847.0,19677199.0,16126874.0,15497822.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
76,3,2003,12221443.0,20182071.0,16346159.0,15709725.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
77,3,2004,12127441.0,20703655.0,16578139.0,15932047.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
78,3,2005,12040491.0,21247946.0,16806416.0,16150274.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
79,3,2006,11959903.0,21818012.0,17050923.0,16384158.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
80,3,2007,11885693.0,22414383.0,17330466.0,16653361.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
81,3,2008,11818949.0,23041766.0,17628560.0,16941031.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
82,3,2009,11765339.0,23700421.0,17946941.0,17249096.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
83,3,2010,11723941.0,24393696.0,18282636.0,17573708.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
84,3,2011,11695477.0,25124081.0,18632179.0,17911362.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
85,3,2012,11677502.0,25888345.0,18995990.0,18264572.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
86,3,2013,11664030.0,26674532.0,19371095.0,18629532.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
87,3,2014,11647651.0,27465662.0,19755734.0,19004433.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
88,3,2015,11623281.0,28248247.0,20152232.0,19390923.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
89,3,2016,11589537.0,29016515.0,20556314.0,19783015.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
90,3,2017,11547532.0,29770610.0,20961313.0,20175233.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
91,3,2018,11498038.0,30510016.0,21362603.0,20564404.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
92,3,2019,11442587.0,31236431.0,21756903.0,20948465.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
93,3,2020,11382345.0,31950910.0,22132899.0,21318767.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
94,4,1990,8962.0,38076.0,24538.0,23281.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
95,4,1991,8763.0,39612.0,25117.0,23874.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
96,4,1992,8535.0,41058.0,25656.0,24422.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
97,4,1993,8291.0,42429.0,26198.0,24976.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
98,4,1994,8037.000000000001,43766.0,26750.0,25539.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
99,4,1995,7782.0,45086.0,27298.0,26103.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
100,4,1996,7527.0,46402.0,27837.0,26663.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
101,4,1997,7268.0,47673.0,28368.0,27209.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
102,4,1998,7006.0,48895.0,28874.0,27730.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
103,4,1999,6738.0,50032.0,29360.0,28234.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
104,4,2000,6565.0,50956.0,29657.0,28572.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
105,4,2001,6695.0,51480.0,29674.0,28649.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
