country_id,country_name,iso3,region,created_at,updated_at
200,Sri Lanka,LKA,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
201,Sudan,SDN,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
202,Sudan (former),SDN,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
203,Suriname,SUR,South America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
204,Sweden,SWE,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
205,Switzerland,CHE,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
206,Syrian Arab Republic,SYR,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
207,Tajikistan,TJK,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
208,Thailand,THA,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
209,Timor-Leste,TLS,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
210,Togo,TGO,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
211,Tokelau,TKL,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
212,Tonga,TON,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
213,Trinidad and Tobago,TTO,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
214,Tunisia,TUN,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
215,United States Virgin Islands,VIR,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
216,Turkmenistan,TKM,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
217,Turks and Caicos Islands,TCA,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
218,Tuvalu,TUV,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
219,Uganda,UGA,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
220,Ukraine,UKR,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
221,United Arab Emirates,ARE,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
222,United Kingdom of Great Britain and Northern Ireland,GBR,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
223,United Republic of Tanzania,TZA,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
224,United States of America,USA,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
225,Uruguay,URY,South America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
226,USSR,RUS,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
227,Uzbekistan,UZB,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
228,Vanuatu,VUT,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
229,Venezuela (Bolivarian Republic of),VEN,South America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
230,Viet Nam,VNM,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
231,Wallis and Futuna Islands,WLF,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
232,Western Sahara,ESH,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
233,Yemen,YEM,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
234,Yugoslav SFR,SRB,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
235,Zambia,ZMB,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
236,Zimbabwe,ZWE,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
